Cr,Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.05,0.3,0.05,0.1,0.2,0.3,0,0.93977717
0.05,0.25,0.05,0.2,0.2,0.25,0,0.93974467
0.05,0.05,0.35,0.25,0.1,0.2,0,0.93969905
0.05,0.3,0.05,0.05,0.2,0.35,0,0.9395881
0.05,0.2,0.05,0.1,0.25,0.35,0,0.93950573
0.05,0.25,0.25,0.05,0.15,0.25,0,0.93950367
0.05,0.1,0.05,0.35,0.25,0.2,0,0.93945996
0.05,0.3,0.2,0.3,0.05,0.1,0,0.93943149
0.05,0.35,0.2,0.15,0.1,0.15,0,0.9392138
0.05,0.05,0.3,0.25,0.1,0.25,0,0.93916708
0.05,0.2,0.35,0.2,0.05,0.15,0,0.93914059
0.05,0.25,0.3,0.25,0.05,0.1,0,0.93901175
0.05,0.1,0.15,0.1,0.25,0.35,0,0.93900041
0.05,0.25,0.15,0.2,0.15,0.2,0,0.9386647
0.05,0.2,0.15,0.25,0.15,0.2,0,0.93866082
0.05,0.35,0.3,0.15,0.05,0.1,0,0.93855486
0.05,0.25,0.35,0.25,0.05,0.05,0,0.93850583
0.05,0.15,0.1,0.1,0.25,0.35,0,0.93833475
0.05,0.35,0.05,0.2,0.15,0.2,0,0.93832978
0.05,0.3,0.1,0.35,0.1,0.1,0,0.93828569
0.05,0.05,0.2,0.2,0.2,0.3,0,0.93810893
0.05,0.05,0.15,0.15,0.25,0.35,0,0.93806331
0.05,0.15,0.05,0.3,0.2,0.25,0,0.93805967
0.05,0.3,0.25,0.3,0.05,0.05,0,0.93804527
0.05,0.2,0.3,0.25,0.05,0.15,0,0.93796516
0.05,0.2,0.05,0.25,0.2,0.25,0,0.9379643
0.05,0.05,0.05,0.35,0.25,0.25,0,0.93791956
0.05,0.3,0.1,0.2,0.15,0.2,0,0.93788511
0.05,0.35,0.15,0.35,0.05,0.05,0,0.93772128
0.05,0.05,0.25,0.25,0.15,0.25,0,0.93767859
0.05,0.3,0.2,0.2,0.1,0.15,0,0.93759586
0.05,0.2,0.35,0.25,0.05,0.1,0,0.93758201
0.05,0.05,0.3,0.05,0.2,0.35,0,0.93754203
0.05,0.35,0.25,0.05,0.1,0.2,0,0.93749204
0.05,0.15,0.2,0.1,0.2,0.3,0,0.93748008
0.05,0.2,0.3,0.25,0.1,0.1,0,0.93746016
0.05,0.25,0.1,0.1,0.2,0.3,0,0.93733209
0.05,0.25,0.25,0.3,0.05,0.1,0,0.93730332
0.05,0.35,0.25,0.2,0.05,0.1,0,0.9371695
0.05,0.3,0.15,0.35,0.05,0.1,0,0.93715984
0.05,0.1,0.25,0.25,0.15,0.2,0,0.93705767
0.05,0.3,0.3,0.05,0.1,0.2,0,0.93697341
0.05,0.35,0.15,0.2,0.1,0.15,0,0.93691861
0.05,0.2,0.1,0.3,0.15,0.2,0,0.9368991
0.05,0.35,0.1,0.1,0.15,0.25,0,0.93677977
0.05,0.15,0.35,0.25,0.05,0.15,0,0.9367787
0.05,0.25,0.3,0.3,0.05,0.05,0,0.93674931
0.05,0.1,0.2,0.15,0.2,0.3,0,0.9366796
0.05,0.15,0.15,0.3,0.15,0.2,0,0.93659741
0.05,0.2,0.15,0.1,0.2,0.3,0,0.93658793
0.05,0.2,0.25,0.3,0.05,0.15,0,0.93657873
0.05,0.25,0.1,0.25,0.15,0.2,0,0.93653027
0.05,0.1,0.15,0.3,0.2,0.2,0,0.93645393
0.05,0.05,0.25,0.25,0.2,0.2,0,0.93642463
0.05,0.05,0.05,0.35,0.3,0.2,0,0.93641426
0.05,0.2,0.35,0.3,0.05,0.05,0,0.93628399
0.05,0.1,0.25,0.2,0.15,0.25,0,0.9362706
0.05,0.25,0.15,0.3,0.1,0.15,0,0.93626484
0.05,0.2,0.3,0.3,0.05,0.1,0,0.93618948
0.05,0.35,0.2,0.25,0.05,0.1,0,0.93616421
0.05,0.1,0.35,0.25,0.05,0.2,0,0.93608107
0.05,0.35,0.1,0.05,0.15,0.3,0,0.93607464
0.05,0.15,0.3,0.2,0.1,0.2,0,0.93606831
0.05,0.3,0.15,0.25,0.1,0.15,0,0.93590697
0.05,0.05,0.15,0.25,0.2,0.3,0,0.9358633
0.05,0.05,0.15,0.3,0.2,0.25,0,0.9358373
0.05,0.05,0.35,0.3,0.1,0.15,0,0.93581865
0.05,0.15,0.35,0.3,0.05,0.1,0,0.93580902
0.05,0.2,0.2,0.3,0.1,0.15,0,0.93574632
0.05,0.1,0.1,0.15,0.25,0.35,0,0.93566617
0.05,0.15,0.3,0.3,0.05,0.15,0,0.93563529
0.05,0.05,0.25,0.3,0.1,0.25,0,0.93561123
0.05,0.3,0.05,0.25,0.15,0.2,0,0.93556623
0.05,0.1,0.35,0.05,0.15,0.3,0,0.93555959
0.05,0.05,0.3,0.3,0.1,0.2,0,0.93552649
0.05,0.05,0.15,0.3,0.25,0.2,0,0.93551187
0.05,0.25,0.1,0.05,0.2,0.35,0,0.93551074
0.05,0.05,0.35,0.25,0.05,0.25,0,0.93547627
0.05,0.2,0.25,0.1,0.15,0.25,0,0.93546281
0.05,0.25,0.2,0.3,0.1,0.1,0,0.93546045
0.05,0.05,0.1,0.2,0.25,0.35,0,0.93543614
0.05,0.05,0.35,0.1,0.15,0.3,0,0.93541777
0.05,0.35,0.15,0.3,0.05,0.1,0,0.93539646
0.05,0.1,0.35,0.3,0.05,0.15,0,0.93536035
0.05,0.2,0.05,0.35,0.15,0.2,0,0.93532466
0.05,0.35,0.35,0.05,0.05,0.15,0,0.93521386
0.05,0.2,0.1,0.35,0.15,0.15,0,0.93518337
0.05,0.1,0.3,0.3,0.05,0.2,0,0.93512173
0.05,0.3,0.2,0.35,0.05,0.05,0,0.93505439
0.05,0.35,0.1,0.25,0.1,0.15,0,0.93503929
0.05,0.25,0.2,0.35,0.05,0.1,0,0.93502084
0.05,0.15,0.05,0.15,0.25,0.35,0,0.93497006
0.05,0.05,0.35,0.3,0.05,0.2,0,0.9349568
0.05,0.3,0.15,0.1,0.15,0.25,0,0.93489247
0.05,0.15,0.25,0.15,0.15,0.25,0,0.93484576
0.05,0.1,0.35,0.35,0.05,0.1,0,0.9348343
0.05,0.2,0.2,0.35,0.05,0.15,0,0.9348285
0.05,0.15,0.35,0.35,0.05,0.05,0,0.93478353
0.05,0.35,0.1,0.35,0.05,0.1,0,0.93478121
0.05,0.05,0.35,0.35,0.05,0.15,0,0.93471398
0.05,0.25,0.05,0.3,0.15,0.2,0,0.93467561
0.05,0.05,0.3,0.3,0.05,0.25,0,0.93465885
0.05,0.3,0.1,0.3,0.1,0.15,0,0.93448243
0.05,0.25,0.2,0.1,0.15,0.25,0,0.93446922
0.05,0.25,0.1,0.35,0.1,0.15,0,0.93440731
0.05,0.1,0.25,0.05,0.2,0.35,0,0.93439058
0.05,0.1,0.2,0.25,0.15,0.25,0,0.93432978
0.05,0.05,0.3,0.25,0.15,0.2,0,0.93430465
0.05,0.15,0.25,0.25,0.1,0.2,0,0.93426567
0.05,0.15,0.15,0.15,0.2,0.3,0,0.93421764
0.05,0.15,0.3,0.35,0.05,0.1,0,0.93416374
0.05,0.1,0.15,0.2,0.2,0.3,0,0.93415264
0.05,0.1,0.3,0.35,0.05,0.15,0,0.93415152
0.05,0.1,0.25,0.3,0.1,0.2,0,0.93413986
0.05,0.15,0.25,0.35,0.05,0.15,0,0.93410005
0.05,0.2,0.25,0.35,0.05,0.1,0,0.93407881
0.05,0.15,0.1,0.35,0.15,0.2,0,0.93403876
0.05,0.05,0.3,0.35,0.05,0.2,0,0.93400627
0.05,0.1,0.25,0.35,0.05,0.2,0,0.93394758
0.05,0.05,0.1,0.3,0.2,0.3,0,0.93391837
0.05,0.25,0.05,0.15,0.2,0.3,0,0.93377374
0.05,0.05,0.25,0.35,0.05,0.25,0,0.93372993
0.05,0.2,0.3,0.35,0.05,0.05,0,0.93372467
0.05,0.25,0.25,0.35,0.05,0.05,0,0.9336692
0.05,0.25,0.3,0.1,0.1,0.2,0,0.93352935
0.05,0.35,0.05,0.3,0.1,0.15,0,0.93340525
0.05,0.2,0.15,0.05,0.2,0.35,0,0.93340504
0.05,0.2,0.1,0.15,0.2,0.3,0,0.93327693
0.05,0.05,0.05,0.25,0.25,0.35,0,0.93323671
0.05,0.3,0.05,0.35,0.1,0.15,0,0.93322112
0.05,0.05,0.2,0.3,0.15,0.25,0,0.93316404
0.05,0.1,0.05,0.2,0.25,0.35,0,0.93315117
0.05,0.05,0.3,0.25,0.2,0.15,0,0.93312236
0.05,0.2,0.3,0.15,0.1,0.2,0,0.93308438
0.05,0.15,0.2,0.05,0.2,0.35,0,0.93304975
0.05,0.35,0.05,0.15,0.15,0.25,0,0.93303394
0.05,0.2,0.15,0.35,0.1,0.15,0,0.93299957
0.05,0.35,0.2,0.1,0.1,0.2,0,0.93279738
0.05,0.3,0.15,0.05,0.15,0.3,0,0.93278328
0.05,0.1,0.3,0.25,0.15,0.15,0,0.93276293
0.05,0.1,0.15,0.3,0.15,0.25,0,0.9326961
0.05,0.05,0.25,0.1,0.2,0.35,0,0.93269179
0.05,0.25,0.15,0.35,0.1,0.1,0,0.93262354
0.05,0.1,0.2,0.3,0.15,0.2,0,0.93259442
0.05,0.15,0.2,0.2,0.15,0.25,0,0.93257841
0.05,0.3,0.25,0.1,0.1,0.2,0,0.93256958
0.05,0.15,0.3,0.05,0.15,0.3,0,0.93254348
0.05,0.15,0.25,0.3,0.1,0.15,0,0.93249457
0.05,0.05,0.1,0.35,0.2,0.25,0,0.93248317
0.05,0.1,0.1,0.35,0.2,0.2,0,0.9324763
0.05,0.2,0.2,0.15,0.15,0.25,0,0.93246836
0.05,0.05,0.3,0.15,0.15,0.3,0,0.93240372
0.05,0.15,0.1,0.35,0.2,0.15,0,0.93240208
0.05,0.3,0.35,0.1,0.05,0.15,0,0.93233135
0.05,0.3,0.15,0.35,0.1,0.05,0,0.93221738
0.05,0.05,0.05,0.35,0.2,0.3,0,0.93214746
0.05,0.1,0.1,0.25,0.2,0.3,0,0.93207527
0.05,0.15,0.2,0.3,0.15,0.15,0,0.93204022
0.05,0.05,0.2,0.35,0.1,0.25,0,0.93196927
0.05,0.25,0.35,0.15,0.05,0.15,0,0.93195916
0.05,0.05,0.35,0.25,0.15,0.15,0,0.93183512
0.05,0.15,0.1,0.2,0.2,0.3,0,0.93177255
0.05,0.15,0.2,0.3,0.1,0.2,0,0.93164773
0.05,0.05,0.35,0.25,0.2,0.1,0,0.93161181
0.05,0.35,0.3,0.1,0.05,0.15,0,0.93159725
0.05,0.3,0.1,0.15,0.15,0.25,0,0.93159123
0.05,0.35,0.05,0.05,0.15,0.35,0,0.9315809
0.05,0.25,0.15,0.15,0.15,0.25,0,0.93140924
0.05,0.15,0.35,0.2,0.05,0.2,0,0.93133499
0.05,0.1,0.1,0.35,0.15,0.25,0,0.93125431
0.05,0.25,0.2,0.05,0.15,0.3,0,0.93119183
0.05,0.2,0.25,0.2,0.1,0.2,0,0.93118516
0.05,0.1,0.3,0.3,0.1,0.15,0,0.93113086
0.05,0.2,0.25,0.05,0.15,0.3,0,0.93112315
0.05,0.2,0.25,0.3,0.1,0.1,0,0.93110225
0.05,0.1,0.3,0.1,0.15,0.3,0,0.93107829
0.05,0.25,0.25,0.15,0.1,0.2,0,0.93093964
