Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.1,0.1,0.3,0.2,0.3,0,0.6948706
0.25,0.2,0.15,0.15,0.25,0,0.69477269
0.15,0.05,0.35,0.2,0.25,0,0.69430775
0.05,0.35,0.15,0.25,0.2,0,0.69204022
0.2,0.05,0.35,0.2,0.2,0,0.68981621
0.05,0.2,0.3,0.35,0.1,0,0.68943259
0.1,0.15,0.3,0.25,0.2,0,0.68884215
0.15,0.25,0.15,0.15,0.3,0,0.68608354
0.15,0.35,0.05,0.15,0.3,0,0.68592183
0.05,0.3,0.15,0.2,0.3,0,0.68354326
0.2,0.05,0.3,0.15,0.3,0,0.68307034
0.05,0.1,0.3,0.3,0.25,0,0.6778015
0.15,0.35,0.15,0.25,0.1,0,0.67763444
0.2,0.3,0.05,0.15,0.3,0,0.67733389
0.05,0.2,0.25,0.3,0.2,0,0.6759067
0.1,0.15,0.35,0.35,0.05,0,0.67300778
0.2,0.25,0.1,0.15,0.3,0,0.67273786
0.15,0.15,0.3,0.25,0.15,0,0.67253486
0.2,0.1,0.25,0.15,0.3,0,0.67199664
0.15,0.35,0.1,0.2,0.2,0,0.67140482
0.15,0.1,0.3,0.2,0.25,0,0.67079236
0.05,0.25,0.05,0.35,0.3,0,0.67024166
0.2,0.2,0.15,0.15,0.3,0,0.66916609
0.2,0.15,0.25,0.2,0.2,0,0.6688865
0.2,0.15,0.2,0.15,0.3,0,0.66814519
0.25,0.25,0.05,0.15,0.3,0,0.66649524
0.25,0.25,0.15,0.25,0.1,0,0.66380171
0.05,0.15,0.3,0.35,0.15,0,0.66284147
0.25,0.3,0.1,0.25,0.1,0,0.66224052
0.1,0.25,0.25,0.3,0.1,0,0.66200287
0.1,0.2,0.25,0.25,0.2,0,0.66175059
0.3,0.2,0.15,0.25,0.1,0,0.66082237
0.2,0.35,0.05,0.2,0.2,0,0.6604592
0.35,0.15,0.15,0.25,0.1,0,0.65889204
0.15,0.2,0.25,0.25,0.15,0,0.65802315
0.2,0.05,0.35,0.25,0.15,0,0.65799616
0.1,0.2,0.3,0.35,0.05,0,0.65764824
0.15,0.05,0.35,0.25,0.2,0,0.6547597
0.25,0.15,0.15,0.15,0.3,0,0.65306138
0.3,0.2,0.05,0.15,0.3,0,0.65275528
0.25,0.05,0.25,0.15,0.3,0,0.65134551
0.25,0.25,0.1,0.2,0.2,0,0.65078637
0.25,0.2,0.15,0.2,0.2,0,0.6496792
0.25,0.15,0.2,0.2,0.2,0,0.64963234
0.25,0.1,0.2,0.15,0.3,0,0.64932089
0.1,0.35,0.05,0.15,0.35,0,0.64832314
0.15,0.25,0.2,0.25,0.15,0,0.64748938
0.05,0.2,0.1,0.35,0.3,0,0.64665074
0.15,0.3,0.05,0.15,0.35,0,0.64618175
0.1,0.3,0.2,0.3,0.1,0,0.64445141
0.3,0.15,0.1,0.15,0.3,0,0.64366759
0.15,0.2,0.2,0.2,0.25,0,0.64201007
0.2,0.05,0.35,0.3,0.1,0,0.64145891
0.15,0.3,0.15,0.25,0.15,0,0.64014232
0.05,0.25,0.2,0.3,0.2,0,0.63953281
0.05,0.05,0.3,0.3,0.3,0,0.63904237
0.1,0.25,0.2,0.25,0.2,0,0.63903726
0.3,0.15,0.15,0.2,0.2,0,0.63865645
0.05,0.15,0.25,0.3,0.25,0,0.63806411
0.2,0.15,0.25,0.25,0.15,0,0.63772154
0.35,0.15,0.05,0.15,0.3,0,0.63594498
0.05,0.35,0.1,0.15,0.35,0,0.63576888
0.3,0.1,0.15,0.15,0.3,0,0.63545287
0.05,0.2,0.2,0.25,0.3,0,0.63543343
0.15,0.3,0.1,0.2,0.25,0,0.63214678
0.05,0.3,0.2,0.35,0.1,0,0.63182
0.3,0.05,0.2,0.15,0.3,0,0.63115637
0.1,0.35,0.15,0.3,0.1,0,0.63107803
0.35,0.15,0.1,0.2,0.2,0,0.63070508
0.35,0.1,0.15,0.2,0.2,0,0.62785994
0.15,0.05,0.3,0.2,0.3,0,0.62707975
0.2,0.35,0.05,0.25,0.15,0,0.6260616
0.15,0.05,0.35,0.3,0.15,0,0.626028
0.1,0.2,0.2,0.2,0.3,0,0.62602619
0.35,0.05,0.2,0.2,0.2,0,0.6259933
0.15,0.1,0.1,0.3,0.35,0,0.62446731
0.05,0.35,0.2,0.35,0.05,0,0.62290179
0.1,0.15,0.3,0.35,0.1,0,0.62262654
0.25,0.2,0.15,0.25,0.15,0,0.62133241
0.2,0.15,0.25,0.3,0.1,0,0.62097695
0.2,0.15,0.25,0.35,0.05,0,0.62064459
0.1,0.15,0.25,0.25,0.25,0,0.61775984
0.35,0.05,0.15,0.15,0.3,0,0.6158439
0.1,0.1,0.3,0.3,0.2,0,0.61329583
0.1,0.05,0.35,0.35,0.15,0,0.6131428
0.25,0.15,0.2,0.3,0.1,0,0.61169174
0.15,0.35,0.1,0.3,0.1,0,0.61159194
0.25,0.2,0.1,0.2,0.25,0,0.61079795
0.35,0.1,0.15,0.25,0.15,0,0.61006016
0.35,0.05,0.2,0.3,0.1,0,0.60956698
0.25,0.2,0.15,0.35,0.05,0,0.60934494
0.25,0.2,0.15,0.3,0.1,0,0.60888149
0.15,0.05,0.35,0.35,0.1,0,0.60885255
0.1,0.35,0.1,0.25,0.2,0,0.60877657
0.35,0.1,0.15,0.35,0.05,0,0.60857899
0.05,0.15,0.15,0.3,0.35,0,0.60810688
